127.0.0.1 - - [17/May/2018:14:15:13 +0530] "GET / HTTP/1.1" 404 1073
0:0:0:0:0:0:0:1 - - [17/May/2018:14:15:16 +0530] "GET /shoppingBazaar/ HTTP/1.1" 200 12891
0:0:0:0:0:0:0:1 - - [17/May/2018:14:15:16 +0530] "GET /resources/css/STYLESHEET.css HTTP/1.1" 404 1109
0:0:0:0:0:0:0:1 - - [17/May/2018:14:15:16 +0530] "GET /shoppingBazaar/Resources/images/uploads/C_001-Laptop.PNG HTTP/1.1" 400 1201
0:0:0:0:0:0:0:1 - - [17/May/2018:14:15:16 +0530] "GET /shoppingBazaar/Resources/logo.png HTTP/1.1" 400 1201
0:0:0:0:0:0:0:1 - - [17/May/2018:14:15:16 +0530] "GET /shoppingBazaar/Resources/images/uploads/C_002-Book.PNG HTTP/1.1" 400 1201
0:0:0:0:0:0:0:1 - - [17/May/2018:14:15:16 +0530] "GET /shoppingBazaar/Resources/images/uploads/C_003-TV.PNG HTTP/1.1" 400 1201
0:0:0:0:0:0:0:1 - - [17/May/2018:14:15:16 +0530] "GET /shoppingBazaar/Resources/images/uploads/P_004-Book.PNG HTTP/1.1" 400 1201
0:0:0:0:0:0:0:1 - - [17/May/2018:14:15:16 +0530] "GET /shoppingBazaar/Resources/images/uploads/P_006-saree.PNG HTTP/1.1" 400 1201
0:0:0:0:0:0:0:1 - - [17/May/2018:14:15:16 +0530] "GET /shoppingBazaar/Resources/images/uploads/P_007-bat.PNG HTTP/1.1" 400 1201
0:0:0:0:0:0:0:1 - - [17/May/2018:14:15:16 +0530] "GET /shoppingBazaar/Resources/images/uploads/P_008-soft_toy.PNG HTTP/1.1" 400 1201
0:0:0:0:0:0:0:1 - - [17/May/2018:14:15:16 +0530] "GET /shoppingBazaar/Resources/images/uploads/P_005-t-shirt.PNG HTTP/1.1" 400 1201
0:0:0:0:0:0:0:1 - - [17/May/2018:14:15:16 +0530] "GET /shoppingBazaar/Resources/images/uploads/P_0011-car.PNG HTTP/1.1" 400 1201
0:0:0:0:0:0:0:1 - - [17/May/2018:14:15:16 +0530] "GET /shoppingBazaar/Resources/images/uploads/P_0010-kurti.PNG HTTP/1.1" 400 1201
0:0:0:0:0:0:0:1 - - [17/May/2018:14:15:16 +0530] "GET /shoppingBazaar/Resources/images/uploads/P_0012-puzzle.PNG HTTP/1.1" 400 1201
0:0:0:0:0:0:0:1 - - [17/May/2018:14:15:16 +0530] "GET /shoppingBazaar/Resources/images/uploads/P_0013-mobile.PNG HTTP/1.1" 400 1201
0:0:0:0:0:0:0:1 - - [17/May/2018:14:15:16 +0530] "GET /resources/css/STYLESHEET.css HTTP/1.1" 404 1109
0:0:0:0:0:0:0:1 - - [17/May/2018:14:15:16 +0530] "GET /shoppingBazaar/Resources/images/uploads/P_0014-tshirt.PNG HTTP/1.1" 400 1201
0:0:0:0:0:0:0:1 - - [17/May/2018:14:15:16 +0530] "GET /shoppingBazaar/Resources/images/uploads/P_0014-C_001-Laptops.PNG HTTP/1.1" 400 1201
0:0:0:0:0:0:0:1 - - [17/May/2018:14:15:16 +0530] "GET /shoppingBazaar/Resources/images/uploads/P_0015-camera.PNG HTTP/1.1" 400 1201
0:0:0:0:0:0:0:1 - - [17/May/2018:14:15:16 +0530] "GET /shoppingBazaar/Resources/images/uploads/P_009-penDrive.PNG HTTP/1.1" 400 1201
0:0:0:0:0:0:0:1 - - [17/May/2018:14:15:16 +0530] "GET /shoppingBazaar/Resources/images/uploads/P_0016-shirt.PNG HTTP/1.1" 400 1201
0:0:0:0:0:0:0:1 - - [17/May/2018:14:15:16 +0530] "GET /shoppingBazaar/Resources/images/uploads/P_0017-piano.PNG HTTP/1.1" 400 1201
0:0:0:0:0:0:0:1 - - [17/May/2018:14:15:25 +0530] "GET /shoppingBazaar/ HTTP/1.1" 200 12891
0:0:0:0:0:0:0:1 - - [17/May/2018:14:15:25 +0530] "GET /resources/css/STYLESHEET.css HTTP/1.1" 404 1109
0:0:0:0:0:0:0:1 - - [17/May/2018:14:15:25 +0530] "GET /shoppingBazaar/Resources/logo.png HTTP/1.1" 400 1201
0:0:0:0:0:0:0:1 - - [17/May/2018:14:15:25 +0530] "GET /shoppingBazaar/Resources/images/uploads/C_001-Laptop.PNG HTTP/1.1" 400 1201
0:0:0:0:0:0:0:1 - - [17/May/2018:14:15:25 +0530] "GET /shoppingBazaar/Resources/images/uploads/C_002-Book.PNG HTTP/1.1" 400 1201
0:0:0:0:0:0:0:1 - - [17/May/2018:14:15:25 +0530] "GET /shoppingBazaar/Resources/images/uploads/C_003-TV.PNG HTTP/1.1" 400 1201
0:0:0:0:0:0:0:1 - - [17/May/2018:14:15:25 +0530] "GET /shoppingBazaar/Resources/images/uploads/P_004-Book.PNG HTTP/1.1" 400 1201
